,0
0,15033.333333333334
1,18066.666666666668
2,18066.666666666668
3,15033.333333333334
4,18066.666666666668
5,12133.333333333328
6,12133.333333333332
7,18066.666666666668
8,18066.666666666668
9,12133.333333333334
10,12133.333333333336
11,18066.666666666668
12,15033.333333333336
13,18066.666666666668
14,18066.666666666668
15,15033.333333333336
